model,dataset,condition,layer,head,entropy_clean,entropy_noisy,entropy_delta,query_mass_clean,query_mass_noisy,query_mass_delta
llama,squad,noise_1_character,3,5,0.42746507078409196,0.43237181305885314,0.0049067422747612,0.0033363215625286102,0.003297017887234688,-3.9303675293922424e-05
llama,squad,noise_1_character,3,6,0.49926860332489015,0.495313335955143,-0.003955267369747162,0.005068427324295044,0.0044205963611602785,-0.0006478309631347656
llama,squad,noise_1_character,3,7,0.38174956738948823,0.38478380888700486,0.003034241497516632,0.006558646261692047,0.006709931790828705,0.00015128552913665772
llama,squad,noise_1_character,3,8,0.9416011482477188,0.9465407282114029,0.004939579963684082,0.02457195222377777,0.022648936510086058,-0.0019230157136917113
llama,squad,noise_1_character,3,9,0.7124628305435181,0.7124041050672532,-5.872547626495361e-05,0.01716536283493042,0.017962700128555296,0.000797337293624878
llama,squad,noise_1_character,3,10,0.5435197249054908,0.5463948309421539,0.0028751060366630555,0.02863100469112396,0.02434820830821991,-0.004282796382904052
llama,squad,noise_1_character,3,11,0.583089791238308,0.6033399850130081,0.020250193774700165,0.008038555085659028,0.00819442719221115,0.00015587210655212402
llama,squad,noise_1_character,3,12,1.1083830505609513,1.1345310628414154,0.02614801228046417,0.012867660820484161,0.017187464237213134,0.004319803416728973
llama,squad,noise_1_character,3,13,0.9147794708609581,0.9325296491384506,0.017750178277492524,0.00429304838180542,0.005370482802391052,0.0010774344205856322
llama,squad,noise_1_character,3,14,0.627477441728115,0.619040909409523,-0.008436532318592071,0.006101185083389282,0.008099555969238281,0.001998370885848999
llama,squad,noise_1_character,3,15,0.7846478015184403,0.788537809252739,0.003890007734298706,0.00685933530330658,0.007227762043476105,0.00036842674016952516
llama,squad,noise_1_character,3,16,0.6491445824503899,0.6530776858329773,0.0039331033825874325,0.006168949604034424,0.005674481391906738,-0.0004944682121276855
llama,squad,noise_1_character,3,17,0.48004170358181,0.49053857028484343,0.010496866703033448,0.004409808665513992,0.0037247728556394576,-0.0006850358098745346
llama,squad,noise_1_character,3,18,0.43702019900083544,0.4469956412911415,0.009975442290306091,0.005235064099542797,0.004247891204431653,-0.0009871728951111435
llama,squad,noise_1_character,3,19,0.7452427059412002,0.7255542069673538,-0.019688498973846436,0.00902436375617981,0.008109366893768311,-0.000914996862411499
llama,squad,noise_1_character,3,20,1.2827276438474655,1.283792209625244,0.0010645657777786255,0.017951154708862306,0.026411819458007812,0.008460664749145507
llama,squad,noise_1_character,3,21,1.4486671537160873,1.4269031822681426,-0.02176397144794464,0.038266324996948244,0.042253947257995604,0.003987622261047363
llama,squad,noise_1_character,3,22,1.8118172645568849,1.8141786694526671,0.002361404895782471,0.061719644069671634,0.07815473079681397,0.016435086727142334
llama,squad,noise_1_character,3,23,1.2142684906721115,1.1960479199886322,-0.01822057068347931,0.020862269401550292,0.020242273807525635,-0.0006199955940246582
llama,squad,noise_1_character,3,24,0.6966069146990777,0.701612013578415,0.005005098879337311,0.005490434169769287,0.005405968427658081,-8.446574211120605e-05
llama,squad,noise_1_character,3,25,0.9048039272427559,0.9129788726568222,0.008174945414066315,0.006489695608615875,0.010857099294662475,0.0043674036860466
llama,squad,noise_1_character,3,26,0.5260344296693802,0.5291563689708709,0.0031219393014907835,0.008358097076416016,0.009460902214050293,0.0011028051376342773
